date,day_of_week,num,year
1/1/1997,Wed,61461,1997
1/2/1997,Thu,46156,1997
1/3/1997,Fri,36028,1997
1/4/1997,Sat,37440,1997
1/5/1997,Sun,26365,1997
1/6/1997,Mon,40406,1997
1/7/1997,Tue,42219,1997
1/8/1997,Wed,41438,1997
1/9/1997,Thu,40911,1997
1/10/1997,Fri,41055,1997
1/11/1997,Sat,40830,1997
1/12/1997,Sun,34230,1997
1/13/1997,Mon,39227,1997
1/14/1997,Tue,39754,1997
1/15/1997,Wed,41031,1997
1/16/1997,Thu,38909,1997
1/17/1997,Fri,41278,1997
1/18/1997,Sat,40609,1997
1/19/1997,Sun,29488,1997
1/20/1997,Mon,39121,1997
1/21/1997,Tue,40937,1997
1/22/1997,Wed,40713,1997
1/23/1997,Thu,39547,1997
1/24/1997,Fri,41248,1997
1/25/1997,Sat,41164,1997
1/26/1997,Sun,25719,1997
1/27/1997,Mon,41110,1997
1/28/1997,Tue,41660,1997
1/29/1997,Wed,42098,1997
1/30/1997,Thu,42888,1997
1/31/1997,Fri,47432,1997
2/1/1997,Sat,44441,1997
2/2/1997,Sun,23457,1997
2/3/1997,Mon,43833,1997
2/4/1997,Tue,43869,1997
2/5/1997,Wed,36159,1997
2/6/1997,Thu,8195,1997
2/7/1997,Fri,15779,1997
2/8/1997,Sat,18838,1997
2/9/1997,Sun,49415,1997
2/10/1997,Mon,46906,1997
2/11/1997,Tue,41370,1997
2/12/1997,Wed,45613,1997
2/13/1997,Thu,48555,1997
2/14/1997,Fri,53579,1997
2/15/1997,Sat,44622,1997
2/16/1997,Sun,31758,1997
2/17/1997,Mon,45069,1997
2/18/1997,Tue,47432,1997
2/19/1997,Wed,48782,1997
2/20/1997,Thu,50304,1997
2/21/1997,Fri,46665,1997
2/22/1997,Sat,49949,1997
2/23/1997,Sun,50013,1997
2/24/1997,Mon,42666,1997
2/25/1997,Tue,45774,1997
2/26/1997,Wed,43836,1997
2/27/1997,Thu,45461,1997
2/28/1997,Fri,60212,1997
3/1/1997,Sat,51352,1997
3/2/1997,Sun,32671,1997
3/3/1997,Mon,43836,1997
3/4/1997,Tue,43806,1997
3/5/1997,Wed,44883,1997
3/6/1997,Thu,45668,1997
3/7/1997,Fri,44365,1997
3/8/1997,Sat,48825,1997
3/9/1997,Sun,45285,1997
3/10/1997,Mon,42724,1997
3/11/1997,Tue,44094,1997
3/12/1997,Wed,43926,1997
3/13/1997,Thu,44629,1997
